日期,活动名,玩家,评分,反馈标签
2026-01-01,狼人杀之夜,玩家030,3.4,气氛热烈
2026-01-01,狼人杀之夜,玩家029,4.7,奖品丰富
2026-01-01,狼人杀之夜,玩家036,3.3,建议改进
2026-01-01,狼人杀之夜,玩家004,3.7,气氛热烈
2026-01-02,新手教学日,玩家017,3.3,建议改进
2026-01-02,新手教学日,玩家048,4.8,组织混乱
2026-01-02,新手教学日,玩家011,3.5,场地舒适
2026-01-02,新手教学日,玩家036,3.8,规则复杂
2026-01-02,新手教学日,玩家050,3.1,建议改进
2026-01-02,新手教学日,玩家032,4.4,气氛热烈
2026-01-02,新手教学日,玩家030,3.3,奖品丰富
2026-01-02,新手教学日,玩家025,4.4,建议改进
2026-01-02,新手教学日,玩家010,2.7,等待时间长
2026-01-02,新手教学日,玩家043,3.4,新手友好
2026-01-02,新手教学日,玩家019,3.0,奖品丰富
2026-01-02,新手教学日,玩家028,3.0,规则复杂
2026-01-02,新手教学日,玩家001,3.1,建议改进
2026-01-02,新手教学日,玩家004,5.0,组织混乱
2026-01-02,节日特别场,玩家016,3.8,奖品丰富
2026-01-02,节日特别场,玩家026,4.1,新手友好
2026-01-02,节日特别场,玩家037,4.4,场地舒适
2026-01-02,节日特别场,玩家008,4.6,时长合适
2026-01-02,节日特别场,玩家044,3.4,场地舒适
2026-01-03,三国杀争霸,玩家017,2.7,场地舒适
2026-01-03,三国杀争霸,玩家049,2.6,等待时间长
2026-01-03,三国杀争霸,玩家048,4.8,等待时间长
2026-01-03,三国杀争霸,玩家045,2.7,建议改进
2026-01-03,三国杀争霸,玩家020,3.9,场地舒适
2026-01-03,三国杀争霸,玩家014,3.1,气氛热烈
2026-01-03,三国杀争霸,玩家037,3.6,组织混乱
2026-01-03,三国杀争霸,玩家039,3.3,场地舒适
2026-01-03,三国杀争霸,玩家021,3.1,等待时间长
2026-01-03,三国杀争霸,玩家047,4.0,新手友好
2026-01-03,三国杀争霸,玩家005,3.2,组织混乱
2026-01-04,节日特别场,玩家010,3.5,等待时间长
2026-01-04,节日特别场,玩家018,3.7,奖品丰富
2026-01-04,节日特别场,玩家048,3.8,奖品丰富
2026-01-04,节日特别场,玩家014,4.4,组织混乱
2026-01-05,狼人杀之夜,玩家003,4.4,新手友好
2026-01-05,狼人杀之夜,玩家022,4.0,等待时间长
2026-01-05,狼人杀之夜,玩家041,3.9,等待时间长
2026-01-05,节日特别场,玩家010,3.2,体验极佳
2026-01-05,节日特别场,玩家005,4.0,气氛热烈
2026-01-05,节日特别场,玩家045,3.3,组织混乱
2026-01-05,节日特别场,玩家008,3.0,场地舒适
2026-01-06,新手教学日,玩家028,4.3,时长合适
2026-01-06,新手教学日,玩家023,3.7,奖品丰富
2026-01-06,新手教学日,玩家024,4.9,时长合适
2026-01-07,深夜桌游局,玩家016,4.7,气氛热烈
2026-01-07,深夜桌游局,玩家022,3.5,建议改进
2026-01-07,深夜桌游局,玩家049,2.9,奖品丰富
2026-01-07,深夜桌游局,玩家018,4.9,时长合适
2026-01-07,深夜桌游局,玩家012,3.8,组织混乱
2026-01-07,深夜桌游局,玩家050,4.1,时长合适
2026-01-08,深夜桌游局,玩家023,4.3,场地舒适
2026-01-08,深夜桌游局,玩家022,3.7,时长合适
2026-01-08,深夜桌游局,玩家033,4.1,规则复杂
2026-01-09,深夜桌游局,玩家001,4.1,奖品丰富
2026-01-09,深夜桌游局,玩家044,3.5,建议改进
2026-01-09,深夜桌游局,玩家033,4.9,气氛热烈
2026-01-09,深夜桌游局,玩家025,3.8,场地舒适
2026-01-09,深夜桌游局,玩家050,4.7,等待时间长
2026-01-09,深夜桌游局,玩家017,4.6,新手友好
2026-01-09,深夜桌游局,玩家034,4.2,体验极佳
2026-01-09,深夜桌游局,玩家003,4.9,奖品丰富
2026-01-09,深夜桌游局,玩家039,4.0,奖品丰富
2026-01-09,深夜桌游局,玩家035,4.4,气氛热烈
2026-01-09,深夜桌游局,玩家037,2.8,建议改进
2026-01-09,深夜桌游局,玩家028,4.4,时长合适
2026-01-09,深夜桌游局,玩家013,4.5,新手友好
2026-01-09,深夜桌游局,玩家008,4.4,奖品丰富
2026-01-10,新手教学日,玩家044,3.8,新手友好
2026-01-10,新手教学日,玩家013,4.3,等待时间长
2026-01-10,新手教学日,玩家027,2.9,等待时间长
2026-01-10,新手教学日,玩家025,4.3,场地舒适
2026-01-10,新手教学日,玩家040,3.7,体验极佳
2026-01-10,新手教学日,玩家037,4.9,组织混乱
2026-01-10,新手教学日,玩家043,3.9,场地舒适
2026-01-10,新手教学日,玩家012,3.0,规则复杂
2026-01-10,家庭桌游日,玩家049,2.8,气氛热烈
2026-01-10,家庭桌游日,玩家042,3.4,建议改进
2026-01-10,家庭桌游日,玩家044,3.1,组织混乱
2026-01-10,家庭桌游日,玩家014,4.2,气氛热烈
2026-01-10,家庭桌游日,玩家031,2.5,新手友好
2026-01-10,家庭桌游日,玩家011,4.4,规则复杂
2026-01-10,家庭桌游日,玩家029,4.2,规则复杂
2026-01-10,家庭桌游日,玩家019,2.7,体验极佳
2026-01-10,家庭桌游日,玩家033,4.5,奖品丰富
2026-01-10,家庭桌游日,玩家006,4.0,新手友好
2026-01-10,家庭桌游日,玩家030,4.8,组织混乱
2026-01-10,家庭桌游日,玩家045,4.4,建议改进
2026-01-10,家庭桌游日,玩家022,3.6,时长合适
2026-01-10,家庭桌游日,玩家016,4.2,时长合适
2026-01-11,狼人杀之夜,玩家007,4.7,气氛热烈
2026-01-11,狼人杀之夜,玩家045,2.5,奖品丰富
2026-01-11,狼人杀之夜,玩家012,4.3,等待时间长
2026-01-11,狼人杀之夜,玩家001,2.6,气氛热烈
2026-01-11,狼人杀之夜,玩家030,4.7,新手友好
2026-01-11,狼人杀之夜,玩家015,4.9,场地舒适
2026-01-11,狼人杀之夜,玩家032,3.4,建议改进
2026-01-11,狼人杀之夜,玩家036,4.2,组织混乱
2026-01-11,桌游嘉年华,玩家042,4.2,场地舒适
2026-01-11,桌游嘉年华,玩家032,4.0,奖品丰富
2026-01-11,桌游嘉年华,玩家017,4.3,气氛热烈
2026-01-11,桌游嘉年华,玩家029,3.4,组织混乱
2026-01-11,桌游嘉年华,玩家006,5.0,气氛热烈
2026-01-11,桌游嘉年华,玩家034,4.3,新手友好
2026-01-11,桌游嘉年华,玩家022,4.0,等待时间长
2026-01-11,桌游嘉年华,玩家043,4.7,建议改进
2026-01-11,桌游嘉年华,玩家019,4.5,体验极佳
2026-01-11,桌游嘉年华,玩家005,2.6,组织混乱
2026-01-11,桌游嘉年华,玩家046,4.5,新手友好
2026-01-12,策略桌游会,玩家037,4.2,场地舒适
2026-01-12,策略桌游会,玩家031,3.1,等待时间长
2026-01-12,策略桌游会,玩家049,4.4,气氛热烈
2026-01-12,策略桌游会,玩家025,2.8,规则复杂
2026-01-12,周末欢乐局,玩家044,4.3,组织混乱
2026-01-12,周末欢乐局,玩家025,4.9,气氛热烈
2026-01-12,周末欢乐局,玩家011,4.2,体验极佳
2026-01-12,周末欢乐局,玩家039,4.1,组织混乱
2026-01-12,周末欢乐局,玩家050,2.7,时长合适
2026-01-13,新手教学日,玩家002,4.1,体验极佳
2026-01-13,新手教学日,玩家021,4.9,奖品丰富
2026-01-13,新手教学日,玩家027,4.5,场地舒适
2026-01-13,新手教学日,玩家025,3.1,新手友好
2026-01-13,新手教学日,玩家006,2.7,气氛热烈
2026-01-13,新手教学日,玩家017,3.4,建议改进
2026-01-14,三国杀争霸,玩家009,4.6,奖品丰富
2026-01-14,三国杀争霸,玩家008,3.9,规则复杂
2026-01-14,三国杀争霸,玩家031,3.3,建议改进
2026-01-14,三国杀争霸,玩家030,3.8,奖品丰富
2026-01-14,节日特别场,玩家020,2.5,组织混乱
2026-01-14,节日特别场,玩家026,3.3,新手友好
2026-01-14,节日特别场,玩家002,4.6,组织混乱
2026-01-14,节日特别场,玩家044,4.2,等待时间长
2026-01-14,节日特别场,玩家038,4.0,等待时间长
2026-01-14,节日特别场,玩家037,4.4,规则复杂
2026-01-15,三国杀争霸,玩家023,3.7,奖品丰富
2026-01-15,三国杀争霸,玩家024,2.6,时长合适
2026-01-15,三国杀争霸,玩家028,2.9,场地舒适
2026-01-15,三国杀争霸,玩家037,4.6,场地舒适
2026-01-15,三国杀争霸,玩家003,4.3,规则复杂
2026-01-15,三国杀争霸,玩家043,4.8,等待时间长
2026-01-15,三国杀争霸,玩家035,4.6,奖品丰富
2026-01-15,策略桌游会,玩家028,3.7,时长合适
2026-01-15,策略桌游会,玩家024,4.4,奖品丰富
2026-01-15,策略桌游会,玩家042,2.7,新手友好
2026-01-15,策略桌游会,玩家012,3.2,场地舒适
2026-01-15,策略桌游会,玩家021,4.3,体验极佳
2026-01-15,策略桌游会,玩家048,3.5,等待时间长
2026-01-15,策略桌游会,玩家040,3.3,建议改进
2026-01-16,节日特别场,玩家027,4.1,建议改进
2026-01-16,节日特别场,玩家049,2.8,组织混乱
2026-01-16,节日特别场,玩家034,3.2,等待时间长
2026-01-16,周末欢乐局,玩家031,4.2,等待时间长
2026-01-16,周末欢乐局,玩家030,3.4,奖品丰富
2026-01-16,周末欢乐局,玩家018,4.2,等待时间长
2026-01-16,周末欢乐局,玩家043,4.8,气氛热烈
2026-01-16,周末欢乐局,玩家034,3.4,组织混乱
2026-01-16,周末欢乐局,玩家038,2.9,规则复杂
2026-01-17,家庭桌游日,玩家050,4.1,奖品丰富
2026-01-17,家庭桌游日,玩家035,3.1,气氛热烈
2026-01-17,家庭桌游日,玩家003,3.1,组织混乱
2026-01-17,家庭桌游日,玩家049,3.3,建议改进
2026-01-18,卡牌对战赛,玩家025,4.7,奖品丰富
2026-01-18,卡牌对战赛,玩家029,3.2,组织混乱
2026-01-18,卡牌对战赛,玩家045,3.4,气氛热烈
2026-01-18,卡牌对战赛,玩家016,2.8,气氛热烈
2026-01-18,卡牌对战赛,玩家040,3.7,体验极佳
2026-01-19,深夜桌游局,玩家016,4.4,建议改进
2026-01-19,深夜桌游局,玩家029,3.0,组织混乱
2026-01-19,深夜桌游局,玩家036,5.0,奖品丰富
2026-01-19,深夜桌游局,玩家001,3.2,等待时间长
2026-01-20,节日特别场,玩家008,3.5,规则复杂
2026-01-20,节日特别场,玩家038,3.5,体验极佳
2026-01-20,节日特别场,玩家042,4.5,体验极佳
2026-01-20,节日特别场,玩家043,3.7,体验极佳
2026-01-20,策略桌游会,玩家021,2.8,等待时间长
2026-01-20,策略桌游会,玩家017,3.9,等待时间长
2026-01-20,策略桌游会,玩家035,2.7,新手友好
2026-01-20,策略桌游会,玩家029,4.6,规则复杂
2026-01-20,策略桌游会,玩家045,2.7,气氛热烈
2026-01-20,策略桌游会,玩家028,3.8,时长合适
2026-01-20,策略桌游会,玩家006,4.9,等待时间长
2026-01-20,策略桌游会,玩家003,3.6,规则复杂
2026-01-20,策略桌游会,玩家033,3.1,规则复杂
2026-01-20,策略桌游会,玩家032,4.9,体验极佳
2026-01-20,策略桌游会,玩家039,4.8,新手友好
2026-01-20,策略桌游会,玩家002,4.1,组织混乱
2026-01-21,三国杀争霸,玩家022,4.0,体验极佳
2026-01-21,三国杀争霸,玩家023,3.0,气氛热烈
2026-01-21,三国杀争霸,玩家006,4.2,规则复杂
2026-01-21,三国杀争霸,玩家027,3.1,场地舒适
2026-01-21,三国杀争霸,玩家007,2.9,场地舒适
2026-01-22,新手教学日,玩家013,3.2,建议改进
2026-01-22,新手教学日,玩家004,3.6,体验极佳
2026-01-22,新手教学日,玩家001,3.1,奖品丰富
2026-01-22,新手教学日,玩家029,4.1,等待时间长
2026-01-22,新手教学日,玩家035,3.5,气氛热烈
2026-01-23,三国杀争霸,玩家015,2.7,新手友好
2026-01-23,三国杀争霸,玩家006,5.0,场地舒适
2026-01-23,三国杀争霸,玩家036,4.3,建议改进
2026-01-23,三国杀争霸,玩家027,4.1,体验极佳
2026-01-23,新手教学日,玩家027,2.8,气氛热烈
2026-01-23,新手教学日,玩家013,4.2,奖品丰富
2026-01-23,新手教学日,玩家018,2.7,气氛热烈
2026-01-23,新手教学日,玩家036,3.4,时长合适
2026-01-23,新手教学日,玩家025,4.4,等待时间长
2026-01-23,新手教学日,玩家031,4.7,场地舒适
2026-01-23,新手教学日,玩家047,3.2,气氛热烈
2026-01-23,新手教学日,玩家046,3.4,场地舒适
2026-01-23,新手教学日,玩家030,3.4,气氛热烈
2026-01-23,新手教学日,玩家050,4.5,气氛热烈
2026-01-23,新手教学日,玩家019,2.9,新手友好
2026-01-23,新手教学日,玩家005,4.0,组织混乱
2026-01-24,卡牌对战赛,玩家021,4.7,体验极佳
2026-01-24,卡牌对战赛,玩家015,3.2,气氛热烈
2026-01-24,卡牌对战赛,玩家040,4.7,等待时间长
2026-01-24,卡牌对战赛,玩家031,3.3,奖品丰富
2026-01-25,家庭桌游日,玩家022,4.0,新手友好
2026-01-25,家庭桌游日,玩家045,2.5,体验极佳
2026-01-25,家庭桌游日,玩家040,4.3,等待时间长
2026-01-25,家庭桌游日,玩家017,2.9,建议改进
2026-01-25,策略桌游会,玩家016,4.2,奖品丰富
2026-01-25,策略桌游会,玩家040,4.3,等待时间长
2026-01-25,策略桌游会,玩家044,3.6,时长合适
2026-01-25,策略桌游会,玩家005,4.5,体验极佳
2026-01-25,策略桌游会,玩家041,3.2,奖品丰富
2026-01-26,策略桌游会,玩家003,4.6,气氛热烈
2026-01-26,策略桌游会,玩家011,2.7,场地舒适
2026-01-26,策略桌游会,玩家045,4.9,等待时间长
2026-01-26,策略桌游会,玩家029,3.9,气氛热烈
2026-01-26,策略桌游会,玩家021,4.4,体验极佳
2026-01-26,策略桌游会,玩家002,4.8,规则复杂
