日期,活动名,玩家,桌号,胜负,时长
2026-01-01,狼人杀之夜,玩家018,2,胜,69
2026-01-01,狼人杀之夜,玩家042,2,胜,69
2026-01-01,狼人杀之夜,玩家007,2,胜,69
2026-01-01,狼人杀之夜,玩家004,2,平,69
2026-01-01,狼人杀之夜,玩家030,2,平,69
2026-01-01,狼人杀之夜,玩家036,2,平,69
2026-01-01,狼人杀之夜,玩家029,2,平,69
2026-01-01,狼人杀之夜,玩家016,2,负,69
2026-01-01,狼人杀之夜,玩家005,2,负,93
2026-01-01,狼人杀之夜,玩家007,2,胜,93
2026-01-01,狼人杀之夜,玩家036,2,平,93
2026-01-01,狼人杀之夜,玩家016,2,平,93
2026-01-01,狼人杀之夜,玩家004,2,胜,93
2026-01-01,狼人杀之夜,玩家018,2,胜,93
2026-01-02,新手教学日,玩家013,5,负,119
2026-01-02,新手教学日,玩家011,5,负,119
2026-01-02,新手教学日,玩家019,5,胜,119
2026-01-02,新手教学日,玩家048,5,平,119
2026-01-02,新手教学日,玩家010,4,负,120
2026-01-02,新手教学日,玩家001,4,平,120
2026-01-02,新手教学日,玩家048,4,平,120
2026-01-02,新手教学日,玩家036,4,胜,120
2026-01-02,新手教学日,玩家050,4,胜,117
2026-01-02,新手教学日,玩家013,4,胜,117
2026-01-02,新手教学日,玩家014,4,胜,117
2026-01-02,新手教学日,玩家001,4,负,117
2026-01-02,新手教学日,玩家010,4,胜,117
2026-01-02,新手教学日,玩家028,4,胜,117
2026-01-02,节日特别场,玩家026,3,负,113
2026-01-02,节日特别场,玩家044,3,胜,113
2026-01-02,节日特别场,玩家008,3,胜,113
2026-01-02,节日特别场,玩家049,3,平,113
2026-01-02,节日特别场,玩家008,2,胜,25
2026-01-02,节日特别场,玩家044,2,平,25
2026-01-02,节日特别场,玩家016,2,负,25
2026-01-02,节日特别场,玩家026,2,平,25
2026-01-02,节日特别场,玩家049,2,负,25
2026-01-02,节日特别场,玩家037,2,负,25
2026-01-02,节日特别场,玩家044,1,平,95
2026-01-02,节日特别场,玩家037,1,胜,95
2026-01-02,节日特别场,玩家016,1,负,95
2026-01-02,节日特别场,玩家026,1,平,95
2026-01-02,节日特别场,玩家008,1,胜,95
2026-01-02,节日特别场,玩家049,1,胜,95
2026-01-02,节日特别场,玩家026,3,胜,49
2026-01-02,节日特别场,玩家008,3,胜,49
2026-01-02,节日特别场,玩家049,3,胜,49
2026-01-02,节日特别场,玩家016,3,平,49
2026-01-02,节日特别场,玩家037,3,胜,49
2026-01-02,节日特别场,玩家044,3,胜,49
2026-01-02,节日特别场,玩家008,1,负,88
2026-01-02,节日特别场,玩家049,1,胜,88
2026-01-02,节日特别场,玩家026,1,负,88
2026-01-02,节日特别场,玩家016,1,负,88
2026-01-02,节日特别场,玩家044,1,负,88
2026-01-02,节日特别场,玩家044,3,平,109
2026-01-02,节日特别场,玩家016,3,胜,109
2026-01-02,节日特别场,玩家026,3,胜,109
2026-01-02,节日特别场,玩家008,3,负,109
2026-01-03,三国杀争霸,玩家030,1,胜,53
2026-01-03,三国杀争霸,玩家045,1,胜,53
2026-01-03,三国杀争霸,玩家007,1,负,53
2026-01-03,三国杀争霸,玩家017,1,负,53
2026-01-03,三国杀争霸,玩家009,1,平,53
2026-01-03,三国杀争霸,玩家043,5,胜,21
2026-01-03,三国杀争霸,玩家001,5,胜,21
2026-01-03,三国杀争霸,玩家047,5,胜,21
2026-01-03,三国杀争霸,玩家046,5,胜,21
2026-01-03,三国杀争霸,玩家037,5,负,21
2026-01-03,三国杀争霸,玩家048,3,胜,22
2026-01-03,三国杀争霸,玩家047,3,胜,22
2026-01-03,三国杀争霸,玩家026,3,平,22
2026-01-03,三国杀争霸,玩家014,3,负,22
2026-01-04,节日特别场,玩家048,1,负,112
2026-01-04,节日特别场,玩家014,1,负,112
2026-01-04,节日特别场,玩家018,1,胜,112
2026-01-04,节日特别场,玩家039,1,负,112
2026-01-04,节日特别场,玩家019,1,平,112
2026-01-04,节日特别场,玩家036,1,负,112
2026-01-04,节日特别场,玩家036,2,平,24
2026-01-04,节日特别场,玩家014,2,平,24
2026-01-04,节日特别场,玩家010,2,平,24
2026-01-04,节日特别场,玩家019,2,胜,24
2026-01-04,节日特别场,玩家039,2,平,24
2026-01-04,节日特别场,玩家048,2,负,24
2026-01-04,节日特别场,玩家019,4,胜,73
2026-01-04,节日特别场,玩家018,4,平,73
2026-01-04,节日特别场,玩家048,4,平,73
2026-01-04,节日特别场,玩家014,4,胜,73
2026-01-04,节日特别场,玩家036,4,平,73
2026-01-04,节日特别场,玩家010,4,平,73
2026-01-04,节日特别场,玩家039,4,胜,73
2026-01-05,狼人杀之夜,玩家001,3,胜,54
2026-01-05,狼人杀之夜,玩家003,3,胜,54
2026-01-05,狼人杀之夜,玩家018,3,负,54
2026-01-05,狼人杀之夜,玩家022,3,平,54
2026-01-05,狼人杀之夜,玩家028,3,胜,54
2026-01-05,狼人杀之夜,玩家041,3,胜,54
2026-01-05,狼人杀之夜,玩家003,3,胜,49
2026-01-05,狼人杀之夜,玩家001,3,胜,49
2026-01-05,狼人杀之夜,玩家018,3,胜,49
2026-01-05,狼人杀之夜,玩家022,3,平,49
2026-01-05,狼人杀之夜,玩家001,2,胜,42
2026-01-05,狼人杀之夜,玩家041,2,胜,42
2026-01-05,狼人杀之夜,玩家028,2,平,42
2026-01-05,狼人杀之夜,玩家018,2,负,42
2026-01-05,狼人杀之夜,玩家003,2,平,42
2026-01-05,狼人杀之夜,玩家022,2,平,42
2026-01-05,狼人杀之夜,玩家041,3,负,89
2026-01-05,狼人杀之夜,玩家018,3,胜,89
2026-01-05,狼人杀之夜,玩家028,3,负,89
2026-01-05,狼人杀之夜,玩家001,3,胜,89
2026-01-05,狼人杀之夜,玩家022,3,胜,89
2026-01-05,狼人杀之夜,玩家003,3,胜,89
2026-01-05,狼人杀之夜,玩家028,2,负,36
2026-01-05,狼人杀之夜,玩家041,2,平,36
2026-01-05,狼人杀之夜,玩家003,2,胜,36
2026-01-05,狼人杀之夜,玩家001,2,负,36
2026-01-05,狼人杀之夜,玩家022,2,胜,36
2026-01-05,狼人杀之夜,玩家018,2,胜,36
2026-01-05,节日特别场,玩家008,5,平,67
2026-01-05,节日特别场,玩家045,5,平,67
2026-01-05,节日特别场,玩家005,5,负,67
2026-01-05,节日特别场,玩家010,5,平,67
2026-01-05,节日特别场,玩家045,1,负,113
2026-01-05,节日特别场,玩家005,1,平,113
2026-01-05,节日特别场,玩家008,1,负,113
2026-01-05,节日特别场,玩家010,1,平,113
2026-01-05,节日特别场,玩家045,3,平,59
2026-01-05,节日特别场,玩家008,3,平,59
2026-01-05,节日特别场,玩家010,3,负,59
2026-01-05,节日特别场,玩家005,3,胜,59
2026-01-06,新手教学日,玩家023,1,平,101
2026-01-06,新手教学日,玩家014,1,胜,101
